chemin, class, classes_LOC, classe_CLOL, classe_DC, WMC, classe_BC
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\experimental\org\jfree\experimental\chart\annotations\XYTitleAnnotation.java, XYTitleAnnotation, 348, 145, 0.4166666666666667, 35, 0.011904761904761906
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\experimental\org\jfree\experimental\chart\annotations\junit\XYTitleAnnotationTests.java, XYTitleAnnotationTests, 147, 61, 0.41496598639455784, 6, 0.0691609977324263
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\experimental\org\jfree\experimental\chart\axis\LogAxis.java, LogAxis, 568, 274, 0.4823943661971831, 49, 0.009844782983615982
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\experimental\org\jfree\experimental\chart\demo\DialDemo1.java, DialDemo1, 126, 27, 0.21428571428571427, 3, 0.07142857142857142
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\experimental\org\jfree\experimental\chart\demo\DialDemo2.java, DialDemo2, 152, 29, 0.19078947368421054, 3, 0.06359649122807018
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\experimental\org\jfree\experimental\chart\demo\DialDemo3.java, DialDemo3, 103, 27, 0.2621359223300971, 3, 0.08737864077669903
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\experimental\org\jfree\experimental\chart\demo\DialDemo4.java, DialDemo4, 104, 27, 0.25961538461538464, 3, 0.08653846153846155
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\experimental\org\jfree\experimental\chart\demo\DialDemo5.java, DialDemo5, 133, 29, 0.21804511278195488, 3, 0.07268170426065163
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\experimental\org\jfree\experimental\chart\demo\LogAxisDemo1.java, LogAxisDemo1, 90, 28, 0.3111111111111111, 5, 0.06222222222222222
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\experimental\org\jfree\experimental\chart\demo\XYTitleAnnotationDemo1.java, XYTitleAnnotationDemo1, 202, 76, 0.37623762376237624, 6, 0.0627062706270627
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\experimental\org\jfree\experimental\chart\plot\dial\AbstractDialLayer.java, AbstractDialLayer, 144, 93, 0.6458333333333334, 9, 0.07175925925925926
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\experimental\org\jfree\experimental\chart\plot\dial\DialBackground.java, DialBackground, 243, 140, 0.5761316872427984, 19, 0.030322720381199916
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\experimental\org\jfree\experimental\chart\plot\dial\DialCap.java, DialCap, 304, 172, 0.5657894736842105, 23, 0.02459954233409611
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\experimental\org\jfree\experimental\chart\plot\dial\DialFrame.java, DialFrame, 65, 53, 0.8153846153846154, 1, 0.8153846153846154
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\experimental\org\jfree\experimental\chart\plot\dial\DialLayer.java, DialLayer, 108, 89, 0.8240740740740741, 1, 0.8240740740740741
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\experimental\org\jfree\experimental\chart\plot\dial\DialLayerChangeEvent.java, DialLayerChangeEvent, 68, 51, 0.75, 2, 0.375
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\experimental\org\jfree\experimental\chart\plot\dial\DialLayerChangeListener.java, DialLayerChangeListener, 57, 47, 0.8245614035087719, 1, 0.8245614035087719
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\experimental\org\jfree\experimental\chart\plot\dial\DialPlot.java, DialPlot, 581, 298, 0.5129087779690189, 56, 0.009159085320875338
