chemin, paquet, paquet_LOC, paquet_CLOL, paquet_DC, WCP, paquet_BC
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\experimental\org\jfree\experimental\chart\annotations\junit, Repo.experimental.org.jfree.experimental.chart.annotations.junit, 147, 61, 0.41496598639455784, 6, 0.0691609977324263
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\experimental\org\jfree\experimental\chart\annotations, Repo.experimental.org.jfree.experimental.chart.annotations, 348, 145, 0.4166666666666667, 41, 0.01016260162601626
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\experimental\org\jfree\experimental\chart\axis, Repo.experimental.org.jfree.experimental.chart.axis, 512, 239, 0.466796875, 47, 0.009931848404255319
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\experimental\org\jfree\experimental\chart\demo, Repo.experimental.org.jfree.experimental.chart.demo, 910, 243, 0.26703296703296703, 26, 0.010270498732037194
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\experimental\org\jfree\experimental\chart\plot\dial\junit, Repo.experimental.org.jfree.experimental.chart.plot.dial.junit, 1834, 705, 0.38440567066521264, 63, 0.006101677312146232
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\experimental\org\jfree\experimental\chart\plot\dial, Repo.experimental.org.jfree.experimental.chart.plot.dial, 4645, 2565, 0.5522066738428417, 421, 0.0013116548072276525
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\experimental\org\jfree\experimental\chart\renderer\xy, Repo.experimental.org.jfree.experimental.chart.renderer.xy, 227, 74, 0.32599118942731276, 13, 0.02507624534056252
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\experimental\org\jfree\experimental\chart\util, Repo.experimental.org.jfree.experimental.chart.util, 122, 74, 0.6065573770491803, 10, 0.060655737704918035
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\source\org\jfree\chart\annotations, Repo.source.org.jfree.chart.annotations, 4378, 2232, 0.5098218364550022, 327, 0.0015590881848776827
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\source\org\jfree\chart\axis, Repo.source.org.jfree.chart.axis, 18782, 9008, 0.479608135448834, 1520, 3.1553166805844344E-4
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\source\org\jfree\chart\block, Repo.source.org.jfree.chart.block, 4862, 2498, 0.513780337309749, 420, 0.0012232865174041643
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\source\org\jfree\chart\demo, Repo.source.org.jfree.chart.demo, 505, 249, 0.49306930693069306, 15, 0.03287128712871287
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\source\org\jfree\chart\editor, Repo.source.org.jfree.chart.editor, 2568, 1148, 0.4470404984423676, 180, 0.0024835583246798198
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\source\org\jfree\chart\encoders, Repo.source.org.jfree.chart.encoders, 903, 603, 0.6677740863787376, 32, 0.02086794019933555
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\source\org\jfree\chart\entity, Repo.source.org.jfree.chart.entity, 1962, 1225, 0.6243628950050968, 134, 0.004659424589590275
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\source\org\jfree\chart\event, Repo.source.org.jfree.chart.event, 1142, 861, 0.7539404553415061, 40, 0.01884851138353765
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\source\org\jfree\chart\imagemap, Repo.source.org.jfree.chart.imagemap, 550, 382, 0.6945454545454546, 18, 0.038585858585858585
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\source\org\jfree\chart\labels, Repo.source.org.jfree.chart.labels, 5118, 3079, 0.6016021883548262, 334, 0.0018012041567509764
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\source\org\jfree\chart\needle, Repo.source.org.jfree.chart.needle, 1530, 822, 0.5372549019607843, 105, 0.005116713352007469
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\source\org\jfree\chart\plot, Repo.source.org.jfree.chart.plot, 30015, 14292, 0.4761619190404798, 3010, 1.58193328584877E-4
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\source\org\jfree\chart\renderer\category, Repo.source.org.jfree.chart.renderer.category, 13294, 6195, 0.46599969911238154, 961, 4.849112373698039E-4
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\source\org\jfree\chart\renderer\xy, Repo.source.org.jfree.chart.renderer.xy, 16260, 7842, 0.4822878228782288, 1236, 3.902005039467871E-4
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\source\org\jfree\chart\renderer, Repo.source.org.jfree.chart.renderer, 5622, 3189, 0.5672358591248666, 2719, 2.086192935361775E-4
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\source\org\jfree\chart\resources, Repo.source.org.jfree.chart.resources, 60, 42, 0.7, 2, 0.35
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\source\org\jfree\chart\servlet, Repo.source.org.jfree.chart.servlet, 654, 363, 0.555045871559633, 43, 0.012908043524642629
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\source\org\jfree\chart\title, Repo.source.org.jfree.chart.title, 3774, 1853, 0.49099099099099097, 368, 0.0013342146494320407
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\source\org\jfree\chart\urls, Repo.source.org.jfree.chart.urls, 1528, 930, 0.6086387434554974, 105, 0.005796559461480928
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\source\org\jfree\chart\util, Repo.source.org.jfree.chart.util, 561, 315, 0.5614973262032086, 43, 0.013058077353562991
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\source\org\jfree\chart, Repo.source.org.jfree.chart, 9506, 4753, 0.5, 10099, 4.9509852460639665E-5
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\source\org\jfree\data\category, Repo.source.org.jfree.data.category, 1621, 921, 0.5681677976557681, 159, 0.00357338237519351
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\source\org\jfree\data\contour, Repo.source.org.jfree.data.contour, 804, 454, 0.5646766169154229, 68, 0.008304067895815044
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\source\org\jfree\data\function, Repo.source.org.jfree.data.function, 288, 220, 0.7638888888888888, 9, 0.08487654320987653
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\source\org\jfree\data\gantt, Repo.source.org.jfree.data.gantt, 1164, 683, 0.5867697594501718, 104, 0.005642016917790114
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\source\org\jfree\data\general, Repo.source.org.jfree.data.general, 5024, 2949, 0.5869824840764332, 429, 0.0013682575386397043
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\source\org\jfree\data\io, Repo.source.org.jfree.data.io, 188, 92, 0.48936170212765956, 15, 0.032624113475177303
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\source\org\jfree\data\jdbc, Repo.source.org.jfree.data.jdbc, 1053, 524, 0.4976258309591643, 70, 0.007108940442273776
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\source\org\jfree\data\resources, Repo.source.org.jfree.data.resources, 375, 279, 0.744, 12, 0.062
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\source\org\jfree\data\statistics, Repo.source.org.jfree.data.statistics, 4572, 2593, 0.5671478565179353, 402, 0.001410815563477451
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\source\org\jfree\data\time\ohlc, Repo.source.org.jfree.data.time.ohlc, 701, 434, 0.6191155492154066, 56, 0.011055634807417974
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\source\org\jfree\data\time, Repo.source.org.jfree.data.time, 9870, 5460, 0.5531914893617021, 939, 5.891283166791291E-4
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\source\org\jfree\data\xml, Repo.source.org.jfree.data.xml, 1132, 669, 0.5909893992932862, 56, 0.010553382130237253
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\source\org\jfree\data\xy, Repo.source.org.jfree.data.xy, 10574, 6824, 0.6453565348969169, 827, 7.803585669853893E-4
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\source\org\jfree\data, Repo.source.org.jfree.data, 4361, 2550, 0.5847282733318047, 3478, 1.6812198773197374E-4
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\swt\org\jfree\experimental\chart\swt\demo, Repo.swt.org.jfree.experimental.chart.swt.demo, 644, 259, 0.40217391304347827, 22, 0.018280632411067196
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\swt\org\jfree\experimental\chart\swt\editor, Repo.swt.org.jfree.experimental.chart.swt.editor, 1649, 630, 0.38204972710733776, 88, 0.0043414741716742925
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\swt\org\jfree\experimental\chart\swt, Repo.swt.org.jfree.experimental.chart.swt, 1482, 536, 0.3616734143049933, 247, 0.0014642648352428877
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\swt\org\jfree\experimental\swt, Repo.swt.org.jfree.experimental.swt, 1393, 653, 0.4687724335965542, 119, 0.0039392641478702035
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\tests\org\jfree\chart\annotations\junit, Repo.tests.org.jfree.chart.annotations.junit, 2171, 880, 0.4053431598341778, 75, 0.005404575464455704
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\tests\org\jfree\chart\axis\junit, Repo.tests.org.jfree.chart.axis.junit, 7267, 2651, 0.36479977982661344, 273, 0.0013362629297678148
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\tests\org\jfree\chart\block\junit, Repo.tests.org.jfree.chart.block.junit, 2423, 905, 0.3735039207593892, 66, 0.0056591503145362
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\tests\org\jfree\chart\entity\junit, Repo.tests.org.jfree.chart.entity.junit, 1124, 463, 0.41192170818505336, 38, 0.010840044952238247
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\tests\org\jfree\chart\junit, Repo.tests.org.jfree.chart.junit, 5774, 2430, 0.42085209560096987, 228, 0.0018458425245656573
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\tests\org\jfree\chart\labels\junit, Repo.tests.org.jfree.chart.labels.junit, 3057, 1271, 0.4157670919201832, 105, 0.00395968658971603
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\tests\org\jfree\chart\needle\junit, Repo.tests.org.jfree.chart.needle.junit, 1289, 628, 0.48719937936384794, 51, 0.009552929007134274
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\tests\org\jfree\chart\plot\junit, Repo.tests.org.jfree.chart.plot.junit, 7090, 2307, 0.32538787023977433, 221, 0.0014723433042523725
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\tests\org\jfree\chart\renderer\category\junit, Repo.tests.org.jfree.chart.renderer.category.junit, 4204, 1559, 0.370837297811608, 201, 0.0018449616806547663
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\tests\org\jfree\chart\renderer\junit, Repo.tests.org.jfree.chart.renderer.junit, 1951, 663, 0.3398257303946694, 60, 0.00566376217324449
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\tests\org\jfree\chart\renderer\xy\junit, Repo.tests.org.jfree.chart.renderer.xy.junit, 5045, 1835, 0.36372646184340934, 188, 0.0019347152225713262
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\tests\org\jfree\chart\title\junit, Repo.tests.org.jfree.chart.title.junit, 1394, 583, 0.4182209469153515, 51, 0.008200410723830421
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\tests\org\jfree\chart\urls\junit, Repo.tests.org.jfree.chart.urls.junit, 670, 334, 0.49850746268656715, 22, 0.02265943012211669
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\tests\org\jfree\chart\util\junit, Repo.tests.org.jfree.chart.util.junit, 210, 113, 0.5380952380952381, 8, 0.06726190476190476
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\tests\org\jfree\data\category\junit, Repo.tests.org.jfree.data.category.junit, 899, 307, 0.3414905450500556, 32, 0.010671579532814238
C:\Users\nickd\OneDrive\Documents\GitHub\TP4_IFT3913\Official Version\Repo\tests\org\jfree\data\gantt\junit, Repo.tests.org.jfree.data.gantt.junit, 979, 334, 0.3411644535240041, 44, 0.007753737580091002
