chemin, class, classes_LOC, classe_CLOL, classe_DC, WMC, classe_BC
src\main\java\module-info.java, module-info, 43, 3, 0.06976744186046512, 1, 0.06976744186046512
src\main\java\org\jfree\chart\ChartColor.java, ChartColor, 149, 74, 0.4966442953020134, 2, 0.2483221476510067
src\main\java\org\jfree\chart\ChartElement.java, ChartElement, 48, 39, 0.8125, 1, 0.8125
src\main\java\org\jfree\chart\ChartElementVisitor.java, ChartElementVisitor, 47, 38, 0.8085106382978723, 1, 0.8085106382978723
src\main\java\org\jfree\chart\ChartFactory.java, ChartFactory, 1870, 872, 0.4663101604278075, 76, 0.006135660005629046
src\main\java\org\jfree\chart\ChartHints.java, ChartHints, 93, 63, 0.6774193548387096, 3, 0.22580645161290322
src\main\java\org\jfree\chart\ChartRenderingInfo.java, ChartRenderingInfo, 231, 129, 0.5584415584415584, 20, 0.02792207792207792
src\main\java\org\jfree\chart\ChartTheme.java, ChartTheme, 51, 42, 0.8235294117647058, 1, 0.8235294117647058
src\main\java\org\jfree\chart\ChartTransferable.java, ChartTransferable, 231, 125, 0.5411255411255411, 9, 0.06012506012506012
src\main\java\org\jfree\chart\ChartUtils.java, ChartUtils, 630, 380, 0.6031746031746031, 8, 0.07539682539682539
src\main\java\org\jfree\chart\Drawable.java, Drawable, 43, 32, 0.7441860465116279, 1, 0.7441860465116279
src\main\java\org\jfree\chart\JFreeChart.java, JFreeChart, 1504, 722, 0.4800531914893617, 135, 0.0035559495665878644
src\main\java\org\jfree\chart\package-info.java, package-info, 4, 3, 0.75, 1, 0.75
src\main\java\org\jfree\chart\StandardChartTheme.java, StandardChartTheme, 1644, 692, 0.4209245742092457, 199, 0.002115198865373094
src\main\java\org\jfree\chart\annotations\AbstractAnnotation.java, AbstractAnnotation, 198, 125, 0.6313131313131313, 14, 0.04509379509379509
src\main\java\org\jfree\chart\annotations\AbstractXYAnnotation.java, AbstractXYAnnotation, 186, 104, 0.5591397849462365, 15, 0.037275985663082434
src\main\java\org\jfree\chart\annotations\Annotation.java, Annotation, 57, 45, 0.7894736842105263, 1, 0.7894736842105263
src\main\java\org\jfree\chart\annotations\CategoryAnnotation.java, CategoryAnnotation, 60, 45, 0.75, 1, 0.75
src\main\java\org\jfree\chart\annotations\CategoryLineAnnotation.java, CategoryLineAnnotation, 390, 187, 0.4794871794871795, 26, 0.01844181459566075
src\main\java\org\jfree\chart\annotations\CategoryPointerAnnotation.java, CategoryPointerAnnotation, 480, 238, 0.49583333333333335, 32, 0.015494791666666667
src\main\java\org\jfree\chart\annotations\CategoryTextAnnotation.java, CategoryTextAnnotation, 246, 118, 0.4796747967479675, 17, 0.028216164514586323
src\main\java\org\jfree\chart\annotations\package-info.java, package-info, 4, 3, 0.75, 1, 0.75
src\main\java\org\jfree\chart\annotations\TextAnnotation.java, TextAnnotation, 314, 172, 0.5477707006369427, 24, 0.022823779193205943
src\main\java\org\jfree\chart\annotations\XYAnnotation.java, XYAnnotation, 64, 48, 0.75, 1, 0.75
src\main\java\org\jfree\chart\annotations\XYAnnotationBoundsInfo.java, XYAnnotationBoundsInfo, 64, 52, 0.8125, 1, 0.8125
src\main\java\org\jfree\chart\annotations\XYBoxAnnotation.java, XYBoxAnnotation, 342, 161, 0.47076023391812866, 26, 0.01810616284300495
src\main\java\org\jfree\chart\annotations\XYDataImageAnnotation.java, XYDataImageAnnotation, 335, 171, 0.5104477611940299, 24, 0.02126865671641791
src\main\java\org\jfree\chart\annotations\XYDrawableAnnotation.java, XYDrawableAnnotation, 270, 123, 0.45555555555555555, 18, 0.025308641975308643
src\main\java\org\jfree\chart\annotations\XYImageAnnotation.java, XYImageAnnotation, 272, 133, 0.4889705882352941, 19, 0.025735294117647058
src\main\java\org\jfree\chart\annotations\XYLineAnnotation.java, XYLineAnnotation, 331, 146, 0.44108761329305135, 24, 0.01837865055387714
src\main\java\org\jfree\chart\annotations\XYPointerAnnotation.java, XYPointerAnnotation, 494, 237, 0.4797570850202429, 35, 0.013707345286292654
src\main\java\org\jfree\chart\annotations\XYPolygonAnnotation.java, XYPolygonAnnotation, 321, 145, 0.4517133956386293, 25, 0.01806853582554517
src\main\java\org\jfree\chart\annotations\XYShapeAnnotation.java, XYShapeAnnotation, 272, 115, 0.4227941176470588, 18, 0.023488562091503268
src\main\java\org\jfree\chart\annotations\XYTextAnnotation.java, XYTextAnnotation, 583, 296, 0.5077186963979416, 47, 0.010802525455275354
src\main\java\org\jfree\chart\annotations\XYTitleAnnotation.java, XYTitleAnnotation, 359, 142, 0.3955431754874652, 34, 0.011633622808454858
