chemin, paquet, paquet_LOC, paquet_CLOL, paquet_DC, WCP, paquet_BC
src\main\java\org\jfree\chart\annotations, main.java.org.jfree.chart.annotations, 5642, 2806, 0.49734136830911024, 403, 0.0012340976881119361
src\main\java\org\jfree\chart\api, main.java.org.jfree.chart.api, 1359, 765, 0.5629139072847682, 70, 0.00804162724692526
src\main\java\org\jfree\chart\axis, main.java.org.jfree.chart.axis, 17608, 8144, 0.46251703771013175, 1513, 3.056953322604969E-4
src\main\java\org\jfree\chart\block, main.java.org.jfree.chart.block, 4980, 2483, 0.49859437751004015, 430, 0.001159521808162884
src\main\java\org\jfree\chart\date, main.java.org.jfree.chart.date, 1330, 761, 0.5721804511278196, 97, 0.005898767537400202
src\main\java\org\jfree\chart\encoders, main.java.org.jfree.chart.encoders, 745, 495, 0.6644295302013423, 22, 0.030201342281879196
src\main\java\org\jfree\chart\entity, main.java.org.jfree.chart.entity, 2581, 1495, 0.5792328554823711, 189, 0.0030647241030813286
src\main\java\org\jfree\chart\event, main.java.org.jfree.chart.event, 1136, 844, 0.7429577464788732, 37, 0.020079939094023603
src\main\java\org\jfree\chart\imagemap, main.java.org.jfree.chart.imagemap, 652, 413, 0.6334355828220859, 31, 0.020433405897486642
src\main\java\org\jfree\chart\internal, main.java.org.jfree.chart.internal, 2147, 937, 0.43642291569632047, 198, 0.0022041561398804064
src\main\java\org\jfree\chart\labels, main.java.org.jfree.chart.labels, 5475, 3109, 0.5678538812785389, 344, 0.0016507380269724966
src\main\java\org\jfree\chart\legend, main.java.org.jfree.chart.legend, 3356, 1664, 0.4958283671036949, 306, 0.001620354140861748
src\main\java\org\jfree\chart\plot\compass, main.java.org.jfree.chart.plot.compass, 2333, 1121, 0.4804972138876982, 188, 0.0025558362440835014
src\main\java\org\jfree\chart\plot\dial, main.java.org.jfree.chart.plot.dial, 5544, 3002, 0.5414862914862915, 411, 0.0013174848941272298
src\main\java\org\jfree\chart\plot\flow, main.java.org.jfree.chart.plot.flow, 759, 298, 0.3926218708827404, 89, 0.00441148169531169
src\main\java\org\jfree\chart\plot\pie, main.java.org.jfree.chart.plot.pie, 4333, 2053, 0.4738056773597969, 411, 0.0011528118670554668
src\main\java\org\jfree\chart\plot, main.java.org.jfree.chart.plot, 25028, 11953, 0.47758510468275533, 3674, 1.299905020911147E-4
src\main\java\org\jfree\chart\renderer\category, main.java.org.jfree.chart.renderer.category, 12580, 5871, 0.46669316375198727, 1011, 4.616153944134394E-4
src\main\java\org\jfree\chart\renderer\xy, main.java.org.jfree.chart.renderer.xy, 18269, 8445, 0.46225847063331327, 1464, 3.157503214708424E-4
src\main\java\org\jfree\chart\renderer, main.java.org.jfree.chart.renderer, 5738, 3079, 0.536598117811084, 3002, 1.787468746872365E-4
src\main\java\org\jfree\chart\swing\editor, main.java.org.jfree.chart.swing.editor, 3421, 1458, 0.4261911721718796, 275, 0.0015497860806250167
src\main\java\org\jfree\chart\swing, main.java.org.jfree.chart.swing, 4962, 2302, 0.46392583635630796, 702, 6.608630147525755E-4
src\main\java\org\jfree\chart\text\format, main.java.org.jfree.chart.text.format, 968, 543, 0.5609504132231405, 71, 0.007900710045396346
src\main\java\org\jfree\chart\text, main.java.org.jfree.chart.text, 2238, 1084, 0.484361036639857, 259, 0.0018701198325863206
src\main\java\org\jfree\chart\title, main.java.org.jfree.chart.title, 2130, 1022, 0.47981220657276996, 194, 0.0024732587967668555
src\main\java\org\jfree\chart\urls, main.java.org.jfree.chart.urls, 1557, 892, 0.5728965960179833, 113, 0.0050698813806901175
src\main\java\org\jfree\chart\util, main.java.org.jfree.chart.util, 1676, 842, 0.5023866348448688, 112, 0.004485594953972043
src\main\java\org\jfree\chart, main.java.org.jfree.chart, 6545, 3211, 0.4906035141329259, 12153, 4.036892241692799E-5
src\main\java\org\jfree\data\category, main.java.org.jfree.data.category, 2018, 1130, 0.5599603567888999, 190, 0.0029471597725731573
src\main\java\org\jfree\data\flow, main.java.org.jfree.data.flow, 967, 535, 0.5532574974146846, 96, 0.005763098931402964
src\main\java\org\jfree\data\function, main.java.org.jfree.data.function, 542, 340, 0.6273062730627307, 37, 0.01695422359629002
src\main\java\org\jfree\data\gantt, main.java.org.jfree.data.gantt, 2268, 1247, 0.5498236331569665, 205, 0.0026820665032047143
src\main\java\org\jfree\data\general, main.java.org.jfree.data.general, 5118, 2720, 0.5314576006252443, 442, 0.0012023927615955753
src\main\java\org\jfree\data\io, main.java.org.jfree.data.io, 186, 90, 0.4838709677419355, 15, 0.03225806451612903
src\main\java\org\jfree\data\json\impl, main.java.org.jfree.data.json.impl, 724, 318, 0.43922651933701656, 59, 0.007444517276898586
src\main\java\org\jfree\data\json, main.java.org.jfree.data.json, 191, 83, 0.43455497382198954, 72, 0.006035485747527633
src\main\java\org\jfree\data\resources, main.java.org.jfree.data.resources, 369, 267, 0.7235772357723578, 12, 0.06029810298102981
src\main\java\org\jfree\data\statistics, main.java.org.jfree.data.statistics, 5745, 3027, 0.5268929503916449, 502, 0.0010495875505809658
src\main\java\org\jfree\data\time\ohlc, main.java.org.jfree.data.time.ohlc, 854, 500, 0.585480093676815, 70, 0.008364001338240215
src\main\java\org\jfree\data\time, main.java.org.jfree.data.time, 10165, 5373, 0.5285784554845057, 979, 5.399167063171662E-4
src\main\java\org\jfree\data\xml, main.java.org.jfree.data.xml, 1147, 658, 0.5736704446381866, 59, 0.009723227875223502
src\main\java\org\jfree\data\xy, main.java.org.jfree.data.xy, 11546, 6985, 0.6049714186731335, 911, 6.640740051296745E-4
src\main\java\org\jfree\data, main.java.org.jfree.data, 4735, 2610, 0.5512143611404435, 3954, 1.3940676811847333E-4
src\main\java, main.java, 43, 3, 0.06976744186046512, 16108, 4.331229318380004E-6
src\test\java\org\jfree\chart\annotations, test.java.org.jfree.chart.annotations, 2037, 768, 0.37702503681885124, 69, 0.005464130968389149
src\test\java\org\jfree\chart\api, test.java.org.jfree.chart.api, 87, 36, 0.41379310344827586, 1, 0.41379310344827586
src\test\java\org\jfree\chart\axis, test.java.org.jfree.chart.axis, 5087, 1735, 0.341065460978966, 157, 0.0021723914712036053
src\test\java\org\jfree\chart\block, test.java.org.jfree.chart.block, 2012, 697, 0.34642147117296224, 53, 0.006536254173074759
src\test\java\org\jfree\chart\entity, test.java.org.jfree.chart.entity, 809, 339, 0.41903584672435107, 24, 0.017459826946847962
src\test\java\org\jfree\chart\imagemap, test.java.org.jfree.chart.imagemap, 348, 205, 0.5890804597701149, 9, 0.06545338441890165
src\test\java\org\jfree\chart\internal, test.java.org.jfree.chart.internal, 539, 234, 0.43413729128014844, 19, 0.022849331120007813
src\test\java\org\jfree\chart\labels, test.java.org.jfree.chart.labels, 2503, 1028, 0.41070715141829806, 101, 0.0040664074397851295
src\test\java\org\jfree\chart\legend, test.java.org.jfree.chart.legend, 485, 165, 0.3402061855670103, 13, 0.026169706582077717
src\test\java\org\jfree\chart\plot\compass, test.java.org.jfree.chart.plot.compass, 885, 463, 0.5231638418079096, 31, 0.016876252961545473
src\test\java\org\jfree\chart\plot\dial, test.java.org.jfree.chart.plot.dial, 1739, 673, 0.38700402530189765, 56, 0.006910786166105315
src\test\java\org\jfree\chart\plot\flow, test.java.org.jfree.chart.plot.flow, 242, 57, 0.23553719008264462, 15, 0.015702479338842976
src\test\java\org\jfree\chart\plot\pie, test.java.org.jfree.chart.plot.pie, 875, 225, 0.2571428571428571, 26, 0.00989010989010989
src\test\java\org\jfree\chart\plot, test.java.org.jfree.chart.plot, 6376, 1753, 0.27493726474278546, 335, 8.207082529635386E-4
src\test\java\org\jfree\chart\renderer\category, test.java.org.jfree.chart.renderer.category, 3770, 1326, 0.35172413793103446, 168, 0.0020935960591133003
src\test\java\org\jfree\chart\renderer\xy, test.java.org.jfree.chart.renderer.xy, 4844, 1660, 0.342691990090834, 191, 0.0017941989009991309
src\test\java\org\jfree\chart\renderer, test.java.org.jfree.chart.renderer, 1656, 533, 0.3218599033816425, 407, 7.908105734192691E-4
src\test\java\org\jfree\chart\swing, test.java.org.jfree.chart.swing, 417, 151, 0.36211031175059955, 22, 0.01645955962502725
src\test\java\org\jfree\chart\text\format, test.java.org.jfree.chart.text.format, 347, 137, 0.39481268011527376, 13, 0.030370206162713367
src\test\java\org\jfree\chart\title, test.java.org.jfree.chart.title, 675, 341, 0.5051851851851852, 20, 0.02525925925925926
